image_id, healthy
Train_0,0
Train_1,0
Train_2,1
Train_3,0
Train_4,1
Train_5,1
Train_6,0
Train_7,0
Train_8,0
Train_9,1
Train_10,0
Train_11,0
Train_12,0
Train_13,1
Train_14,0
Train_15,0
Train_16,0
Train_17,0
Train_18,1
Train_19,0
Train_20,0
Train_21,0
Train_22,0
Train_23,0
Train_24,1
Train_25,0
Train_26,0
Train_27,0
Train_28,0
Train_29,0
Train_30,0
Train_31,0
Train_32,0
Train_33,1
Train_34,0
Train_35,0
Train_36,0
Train_37,0
Train_38,0
Train_39,0
Train_40,0
Train_41,0
Train_42,0
Train_43,1
Train_44,0
Train_45,0
Train_46,1
Train_47,0
Train_48,0
Train_49,0
Train_50,0
Train_51,0
Train_52,0
Train_53,1
Train_54,1
Train_55,1
Train_56,0
Train_57,0
Train_58,0
Train_59,0
Train_60,0
Train_61,0
Train_62,0
Train_63,1
Train_64,0
Train_65,0
Train_66,1
Train_67,1
Train_68,1
Train_69,0
Train_70,1
Train_71,0
Train_72,1
Train_73,0
Train_74,0
Train_75,0
Train_76,0
Train_77,1
Train_78,0
Train_79,0
Train_80,0
Train_81,0
Train_82,0
Train_83,0
Train_84,0
Train_85,0
Train_86,1
Train_87,0
Train_88,1
Train_89,0
Train_90,1
Train_91,0
Train_92,0
Train_93,0
Train_94,1
Train_95,0
Train_96,0
Train_97,0
Train_98,0
Train_99,1
Train_100,1
Train_101,0
Train_102,0
Train_103,1
Train_104,0
Train_105,1
Train_106,0
Train_107,0
Train_108,0
Train_109,0
Train_110,0
Train_111,1
Train_112,0
Train_113,0
Train_114,0
Train_115,0
Train_116,0
Train_117,0
Train_118,0
Train_119,0
Train_120,0
Train_121,0
Train_122,0
Train_123,1
Train_124,0
Train_125,0
Train_126,0
Train_127,0
Train_128,0
Train_129,0
Train_130,0
Train_131,0
Train_132,0
Train_133,0
Train_134,1
Train_135,1
Train_136,1
Train_137,1
Train_138,0
Train_139,0
Train_140,0
Train_141,0
Train_142,0
Train_143,0
Train_144,1
Train_145,0
Train_146,1
Train_147,0
Train_148,0
Train_149,0
Train_150,0
Train_151,1
Train_152,0
Train_153,0
Train_154,0
Train_155,0
Train_156,0
Train_157,0
Train_158,0
Train_159,0
Train_160,0
Train_161,0
Train_162,1
Train_163,0
Train_164,0
Train_165,0
Train_166,0
Train_167,1
Train_168,0
Train_169,0
Train_170,0
Train_171,0
Train_172,0
Train_173,0
Train_174,1
Train_175,1
Train_176,0
Train_177,0
Train_178,0
Train_179,1
Train_180,0
Train_181,0
Train_182,0
Train_183,0
Train_184,0
Train_185,0
Train_186,0
Train_187,0
Train_188,0
Train_189,0
Train_190,0
Train_191,0
Train_192,0
Train_193,0
Train_194,0
Train_195,1
Train_196,0
Train_197,0
Train_198,1
Train_199,1
Train_200,0
Train_201,1
Train_202,0
Train_203,0
Train_204,0
Train_205,0
Train_206,0
Train_207,0
Train_208,0
Train_209,0
Train_210,0
Train_211,0
Train_212,0
Train_213,1
Train_214,0
Train_215,1
Train_216,0
Train_217,0
Train_218,0
Train_219,1
Train_220,1
Train_221,1
Train_222,0
Train_223,0
Train_224,1
Train_225,0
Train_226,0
Train_227,1
Train_228,0
Train_229,0
Train_230,0
Train_231,0
Train_232,0
Train_233,0
Train_234,0
Train_235,0
Train_236,0
Train_237,0
Train_238,1
Train_239,0
Train_240,0
Train_241,0
Train_242,0
Train_243,0
Train_244,0
Train_245,0
Train_246,1
Train_247,1
Train_248,1
Train_249,1
Train_250,0
Train_251,0
Train_252,0
Train_253,0
Train_254,0
Train_255,0
Train_256,0
Train_257,1
Train_258,0
Train_259,0
Train_260,0
Train_261,1
Train_262,0
Train_263,1
Train_264,1
Train_265,1
Train_266,1
Train_267,0
Train_268,0
Train_269,0
Train_270,0
Train_271,1
Train_272,0
Train_273,1
Train_274,0
Train_275,0
Train_276,0
Train_277,0
Train_278,1
Train_279,0
Train_280,0
Train_281,0
Train_282,1
Train_283,0
Train_284,0
Train_285,0
Train_286,0
Train_287,1
Train_288,0
Train_289,0
Train_290,0
Train_291,1
Train_292,0
Train_293,0
Train_294,0
Train_295,1
Train_296,0
Train_297,0
Train_298,1
Train_299,0
Train_300,1
Train_301,0
Train_302,0
Train_303,0
Train_304,1
Train_305,0
Train_306,0
Train_307,1
Train_308,0
Train_309,0
Train_310,0
Train_311,1
Train_312,0
Train_313,0
Train_314,0
Train_315,0
Train_316,0
Train_317,1
Train_318,0
Train_319,0
Train_320,1
Train_321,0
Train_322,0
Train_323,0
Train_324,0
Train_325,0
Train_326,0
Train_327,0
Train_328,0
Train_329,1
Train_330,1
Train_331,0
Train_332,0
Train_333,0
Train_334,0
Train_335,1
Train_336,0
Train_337,1
Train_338,0
Train_339,1
Train_340,0
Train_341,0
Train_342,0
Train_343,0
Train_344,0
Train_345,0
Train_346,0
Train_347,0
Train_348,1
Train_349,0
Train_350,0
Train_351,0
Train_352,0
Train_353,0
Train_354,0
Train_355,0
Train_356,1
Train_357,1
Train_358,0
Train_359,1
Train_360,1
Train_361,0
Train_362,0
Train_363,0
Train_364,0
Train_365,1
Train_366,1
Train_367,1
Train_368,0
Train_369,0
Train_370,0
Train_371,0
Train_372,0
Train_373,1
Train_374,0
Train_375,1
Train_376,1
Train_377,0
Train_378,1
Train_379,0
Train_380,1
Train_381,0
Train_382,0
Train_383,1
Train_384,0
Train_385,0
Train_386,0
Train_387,0
Train_388,0
Train_389,1
Train_390,0
Train_391,0
Train_392,1
Train_393,1
Train_394,0
Train_395,0
Train_396,1
Train_397,1
Train_398,0
Train_399,0
Train_400,0
Train_401,0
Train_402,0
Train_403,0
Train_404,1
Train_405,1
Train_406,1
Train_407,1
Train_408,0
Train_409,0
Train_410,0
Train_411,0
Train_412,1
Train_413,0
Train_414,0
Train_415,1
Train_416,0
